# xp i yp j p u v ts tf
   0.01861   3    0.43872  71   1.014E+05  6.959E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.44503  72   1.014E+05  2.616E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.45134  73   1.014E+05  4.936E-07  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.45766  74   1.014E+05  7.138E-07  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.46397  75   1.014E+05  7.844E-07  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.47028  76   1.014E+05  7.242E-07  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.47659  77   1.014E+05  6.380E-07  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.48291  78   1.014E+05  7.805E-07  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.48922  79   1.013E+05 -1.255E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.49553  80   1.013E+05 -5.226E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.50184  81   1.013E+05 -2.613E-08  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.50500  82   1.013E+05  0.000E+00  6.500E-02  2.930E+02  3.482E+02
   0.03102   4    0.00000   1   1.019E+05  0.000E+00  6.500E-02  2.930E+02  2.930E+02
   0.03102   4    0.00316   2   1.019E+05 -1.145E-07  6.501E-02  2.932E+02  2.930E+02
   0.03102   4    0.00947   3   1.019E+05 -8.646E-08  6.499E-02  2.936E+02  2.930E+02
   0.03102   4    0.01578   4   1.019E+05 -6.700E-08  6.500E-02  2.943E+02  2.930E+02
   0.03102   4    0.02209   5   1.019E+05  1.624E-07  6.499E-02  2.954E+02  2.930E+02
   0.03102   4    0.02841   6   1.019E+05  6.068E-10  6.498E-02  2.971E+02  2.930E+02
   0.03102   4    0.03472   7   1.019E+05  5.678E-08  6.499E-02  2.999E+02  2.930E+02
   0.03102   4    0.04103   8   1.019E+05  6.788E-08  6.499E-02  3.041E+02  2.930E+02
   0.03102   4    0.04734   9   1.019E+05  2.890E-07  6.498E-02  3.106E+02  2.930E+02
   0.03102   4    0.05366  10   1.018E+05  1.055E-07  6.498E-02  3.200E+02  2.930E+02
   0.03102   4    0.05997  11   1.018E+05  1.200E-07  6.497E-02  3.332E+02  2.930E+02
   0.03102   4    0.06628  12   1.018E+05  1.145E-07  6.498E-02  3.512E+02  2.930E+02
   0.03102   4    0.07259  13   1.018E+05  1.300E-07  6.498E-02  3.751E+02  2.930E+02
   0.03102   4    0.07891  14   1.018E+05  1.492E-07  6.497E-02  4.057E+02  2.931E+02
   0.03102   4    0.08522  15   1.018E+05  1.705E-07  6.490E-02  4.439E+02  2.956E+02
   0.03102   4    0.09153  16   1.018E+05  1.939E-07  6.505E-02  4.900E+02  3.482E+02
   0.03102   4    0.09784  17   1.018E+05  2.191E-07  6.498E-02  4.439E+02  3.482E+02
   0.03102   4    0.10416  18   1.018E+05  2.436E-07  6.497E-02  4.057E+02  3.482E+02
   0.03102   4    0.11047  19   1.018E+05  2.649E-07  6.498E-02  3.751E+02  3.482E+02
   0.03102   4    0.11678  20   1.018E+05  2.860E-07  6.497E-02  3.512E+02  3.482E+02
   0.03102   4    0.12309  21   1.018E+05  3.039E-07  6.497E-02  3.332E+02  3.482E+02
   0.03102   4    0.12941  22   1.018E+05  3.359E-07  6.497E-02  3.200E+02  3.482E+02
   0.03102   4    0.13572  23   1.018E+05  3.401E-07  6.498E-02  3.106E+02  3.482E+02
   0.03102   4    0.14203  24   1.017E+05  3.593E-07  6.498E-02  3.042E+02  3.482E+02
   0.03102   4    0.14834  25   1.017E+05  3.778E-07  6.497E-02  2.999E+02  3.482E+02
   0.03102   4    0.15466  26   1.017E+05  4.041E-07  6.497E-02  2.971E+02  3.482E+02
   0.03102   4    0.16097  27   1.017E+05  4.390E-07  6.497E-02  2.954E+02  3.482E+02
   0.03102   4    0.16728  28   1.017E+05  4.939E-07  6.498E-02  2.944E+02  3.482E+02
   0.03102   4    0.17359  29   1.017E+05  5.674E-07  6.498E-02  2.937E+02  3.482E+02
   0.03102   4    0.17991  30   1.017E+05  6.916E-07  6.497E-02  2.934E+02  3.482E+02
   0.03102   4    0.18622  31   1.017E+05  8.641E-07  6.497E-02  2.932E+02  3.482E+02
   0.03102   4    0.19253  32   1.017E+05  1.192E-06  6.497E-02  2.931E+02  3.482E+02
